Year,Jurisdiction_x,Pct_Econ_Disadvantaged,Pct_Not_Econ_Disadvantaged,Pct_Eligible_NSLP,Pct_Not_Eligible_NSLP,Did_Not_Finish_HS,Graduated_HS,Graduated_College,I_Dont_Know,White,Black,Hispanic,Asian_Pacific_Islander,American_Indian,Two_or_More,Avg_Score,Pctl_0,Pctl_10,Pctl_25,Pctl_50,Pctl_75,Pctl_90
Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,,Percentage,Percentage,Percentage,Percentage,Percentage
2022,California without Los Angeles,58.8025241,41.13865993,58.8025241,41.13865993,8.951818772,15.02598333,11.87693836,43.45926606,18.29372131,4.090320177,57.91337984,14.8928136,,4.464249472,270.397284,,218.6259987,241.2270012,268.6460007,296.8239975,326.2244995
2022,California without San Diego,59.18289385,38.75041645,59.18289385,38.75041645,9.266745527,15.15473452,11.88407181,42.54264694,17.70793336,4.164383836,59.19279702,14.35535176,,4.234299357,269.7362564,,218.1504997,240.7044998,268.0149979,295.9949997,325.1920013
2022,California without any TUDAs,58.8652372,41.07494014,58.8652372,41.07494014,8.990189522,15.0594538,11.85492817,43.32267618,18.17950787,4.040693583,58.16000172,14.87015261,,4.398214782,270.3294752,,218.5789993,241.1825005,268.5904999,296.6830002,326.1304993
2022,Colorado without Denver,33.22320948,65.84451516,33.22320948,65.84451516,,,,,55.50766826,3.307865863,32.5002669,3.09271156,0.600356245,4.99113117,276.3614365,,225.4080009,250.4819992,276.9400009,302.9054993,325.9735016
2022,District of Columbia without DCPS,86.06879636,13.93120364,86.06879636,13.93120364,4.906207649,21.92700309,16.94411843,41.60627542,6.329802515,71.80485112,17.86714647,0.915862848,,2.841192338,262.5265997,,215.1010002,236.9404991,262.0710007,285.8355011,310.3440033
2022,Florida without Duval County,56.63961675,43.16533028,56.63961675,43.16533028,5.925600118,17.10129691,15.20684311,48.26585722,35.26308639,19.26141322,38.09624254,3.140454141,,4.022380929,271.2955327,,223.9839973,244.9569992,269.922998,296.1924988,321.7414963
2022,Florida without Hillsborough County,55.93112505,43.85587134,55.93112505,43.85587134,5.840549566,17.19244472,15.4965258,47.93861927,35.47012405,20.19339647,36.98461959,3.079252108,,4.042330094,271.3598203,,224.013002,245.0239998,269.9699997,296.2309967,321.8259995
2022,Florida without Miami-Dade,53.85668745,45.94095155,53.85668745,45.94095155,6.107988614,17.52436728,15.34308299,47.69670222,38.85414467,20.5414664,32.31752539,3.482316846,,4.552176346,270.8122975,,223.397998,244.1249992,269.2419998,295.8459976,321.7445038
2022,Florida without Orange County,,,,,,,,,,,,,,,,,,,,,
2022,Florida without any TUDAs,53.51296026,46.26660991,53.51296026,46.26660991,6.094030265,17.8077297,15.76067447,47.20027281,40.10164231,19.1732392,32.72358025,3.221803501,,4.540135406,271.0527073,,223.407,244.4775002,269.5209991,296.0185028,322.1145004
2022,Georgia without Atlanta,54.1419449,44.9645156,54.1419449,44.9645156,8.09260812,15.2256612,13.82449707,49.59277582,35.25021237,37.43790401,17.98069402,5.143335702,,4.010468572,271.5217581,,221.4930008,244.6365005,270.9644989,297.5430008,322.1679977
2022,Illinois without Chicago,39.06448767,60.93551233,39.06448767,60.93551233,5.792108062,11.8472689,11.90309786,56.83804432,53.09809985,11.43797131,23.57578825,7.319214657,,4.430583599,277.9632252,,229.0665001,250.3450012,276.4119965,304.1355011,329.049498
2022,Kentucky without Jefferson County,54.2733389,45.4515494,54.2733389,45.4515494,7.169663192,17.62535305,16.49584111,47.56354025,78.41119526,6.82111387,8.772995093,1.35387693,,4.640818846,270.6150278,,224.2365013,245.4720009,270.2070007,295.6400009,317.1994995
2022,Maryland without Baltimore,38.36958538,60.75348796,38.36958538,60.75348796,6.419127361,11.25217482,10.8724394,55.64722947,35.42855535,30.18997268,21.20452045,8.130408005,,4.81939877,270.6809434,,216.0345001,240.1845016,268.9675018,300.4264984,328.2660004
2022,Massachusetts without Boston,39.91945825,59.754432,39.91945825,59.754432,4.186320082,12.51485314,11.22180711,60.49766013,61.81271042,7.274460839,20.40208485,6.384087834,,3.783003453,284.2242773,,233.4720001,257.1100006,284.0849991,311.212999,334.5985001
2022,Michigan without Detroit,47.12497229,52.87502771,47.12497229,52.87502771,3.679748796,13.04102412,13.9534332,59.21324223,69.21356381,15.76650648,6.816173567,2.822724919,,5.06125236,273.5115083,,224.9890007,246.2939995,272.9964996,300.1769989,322.1970001
2022,Nevada without Clark County,39.8402327,58.01909349,39.8402327,58.01909349,6.404977346,17.90578459,16.81336946,45.36494783,40.64011496,8.367969583,36.73488545,6.222884749,1.139546088,6.894599175,273.0666662,,226.9040001,248.2455002,272.2789993,296.9310028,320.7089996
2022,New Mexico without Albuquerque,78.97133789,21.02866211,78.97133789,21.02866211,10.49502699,19.12992937,14.77570065,40.52449133,21.5045104,1.825900199,62.5023423,1.053486691,11.74292682,1.370833595,258.6184351,,216.4369995,236.0979988,258.1264999,280.5539993,301.2189972
2022,New York without New York City,47.58320644,43.75483544,47.58320644,43.75483544,5.116582431,11.27274716,10.93863792,58.28344281,52.76411952,13.63661948,22.82919866,8.039843075,,2.335242948,277.0442502,,224.6085007,249.2715012,276.5355011,305.2009995,330.5205017
2022,North Carolina without Charlotte,35.69451336,64.30548664,35.69451336,64.30548664,6.954059352,13.6920221,12.85278174,53.79815389,47.35324107,24.17626424,20.22679752,2.790048069,,4.991494595,273.2726828,,225.3590004,247.5144997,273.0404984,298.8919998,321.549498
